Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2006M11;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2006M10;0,9
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2006M09;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2006M08;0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2006M07;-1,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2006M06;0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2006M05;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2006M04;1,4
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2006M03;0,9
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2006M02;0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2006M01;-1,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2005M12;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2005M11;0,5
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2005M10;1,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2005M09;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2005M08;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2005M07;-1,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2005M06;0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2005M05;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2005M04;1,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2005M03;0,7
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2005M02;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2005M01;-1,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2004M12;0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2004M11;0,4
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2004M10;0,9
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2004M09;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2004M08;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2004M07;-1,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2004M06;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2004M05;0,4
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2004M04;1,5
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2004M03;0,6
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2004M02;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2004M01;-1,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2003M12;0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2003M11;0,4
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2003M10;1,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2003M09;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2003M08;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2003M07;-1,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2003M06;0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2003M05;0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2003M04;1,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2003M03;0,6
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2003M02;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2003M01;-0,8
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2002M12;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2002M11;0,4
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2002M10;1,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2002M09;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2002M08;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2002M07;-1,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2002M06;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2002M05;0,4
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2002M04;1,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2002M03;0,7
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2002M02;0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2002M01;-0,5
